COINTRIG_cut,COINTRIG_scaler,COIN_PS,CPULT_scaler,CPULT_scaler_uncern,HMSTRIG_cut,HMSTRIG_scaler,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_track,SHMS_track_uncern,accp_edtm,charge,curr_corr,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,run number,sent_edtm,sent_edtm_PS,time,tot_events
,5551343.0,,0.9806502294497084,0.0018853328948053,32012.0,48104090.0,65.0,0.8966919329506438,0.0024355622206907,0.9955,0.0027,,1025.0,,65.0,,,2.0,641326065.0,1025.0,0.8966919329506438,0.0024355622206907,0.9414,0.0037,5148,40331.259795735896,0.997965930525466,444966.65897466,437744.31514632335,2794,389490.6750245607,293864.7762324404,2354,12126,379659.0,6205.608270168856,585.9756030000001,1335693
,3724095.0,,0.9970499498459696,0.0021028000681044,26430.0,39431292.0,65.0,0.9199891770607962,0.0022394464454183,0.9961,0.003,,1025.0,,65.0,,,2.0,536160552.0,1025.0,0.9199891770607962,0.0022394464454183,0.9531,0.0038,5004,32705.53395395906,0.9974023296540702,337001.1197370684,333041.6385275847,2690,301615.6083102902,227119.0899430161,2314,12128,394439.0,6447.190559099437,606.844255,1025843
,880707.0,,0.9978683362622072,0.0022037307387403,30786.0,17713697.0,33.0,0.9651685318606144,0.0017840957898976,0.9967,0.0031,,513.0,,33.0,,,3.0,251629130.0,513.0,0.9651685318606144,0.0017840957898976,0.9764,0.0037,5877,14642.886242041404,0.9942856590922792,324789.213207157,321446.190382665,3073,310892.2639641297,245399.4465290335,2804,12130,197217.0,6349.061669324827,597.674599,1018639
,526820.0,,0.9997620880915984,0.0026505589855502,23463.0,12241319.0,33.0,0.9751695181524588,0.001650147121108,0.9971,0.0037,,513.0,,33.0,,,4.0,175149702.0,513.0,0.9751695181524588,0.001650147121108,0.9807,0.0043,5691,10070.085972701854,0.992073547491414,227623.1940181136,225502.5764513549,2969,218923.017575042,174749.49246816576,2722,12132,188133.0,6056.617933723197,570.143273,716977
,270642.0,,0.9998240642822736,0.0038389889426964,12088.0,5845541.0,33.0,0.9891099226826784,0.0013153613726811,0.9978,0.0055,,513.0,,33.0,,,7.0,83373351.0,513.0,0.9891099226826784,0.0013153613726811,0.9866,0.0062,5591,4754.272593734202,0.9823313799400758,96143.98458912811,95418.3337179736,2913,78864.72583568646,70707.0494973266,2679,12133,197988.0,6373.8826865142655,600.0102580000001,307837
,86094.0,,0.9996940356182128,0.0024662072000061,27192.0,3664287.0,9.0,0.9931978952871672,0.0011613869645277,0.9977,0.0036,,129.0,,9.0,,,22.0,53474551.0,129.0,0.9931978952871672,0.0011613869645277,0.9885,0.0038,6649,3068.5594005233465,0.9720643575140244,251029.31634720936,249384.3561352282,3319,223300.8911858021,201624.4149122854,3331,12135,55087.0,6500.3608957795,612.301274,829441
,3412937.0,,0.9558128896419431,0.002345492404064675,19093.0,29674472.0,65.0,0.8971773427446706,0.002741410055227101,0.9956,0.0035,,1025.0,,65.0,,,2.0,395792244.0,1025.0,0.8971773427446706,0.002741410055227101,0.9422,0.0046,3108,24856.559487239683,0.9979520814541477,272885.6888050098,268245.17164511833,1646,186451.5223582908,152638.81195828004,1462,12141,236335.0,3862.946566604128,363.601494,815884
