COINTRIG_cut,COINTRIG_scaler,COIN_PS,CPULT_scaler,CPULT_scaler_uncern,HMSTRIG_cut,HMSTRIG_scaler,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_track,SHMS_track_uncern,accp_edtm,charge,curr_corr,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,run number,sent_edtm,sent_edtm_PS,time,tot_events
,8430027.0,,0.7914973113477546,0.0008912297406657021,253329.0,182287133.0,129.0,0.9905718427676172,0.001020312459160746,0.9948,0.0016,,,,129.0,,,,829889166.0,,0.9905718427676172,0.001020312459160746,0.9805,0.0036,13715,119351.94285694472,0.9996855944434019,930280.2702104377,928629.7724594303,13715,-1.0,-1.0,-1,16703,1936287.0,15009.976744186046,1500.996561,1406532
,4898491.0,,0.7943563365733994,0.0011005508826730835,123718.0,120589563.0,129.0,0.9928744715015102,0.0009837867952023306,0.9955,0.0021,,,,129.0,,,,545081728.0,,0.9928744715015102,0.0009837867952023306,0.9845,0.005,12185,77365.19056052416,0.9995779263828032,681675.4606153008,675860.6816060335,12185,-1.0,-1.0,-1,16704,1684936.0,13061.519379844962,1306.1522329999998,934802
,1486823.0,,0.7950050051667652,0.0010779488419329728,128592.0,63467139.0,65.0,0.9952740529470671,0.0009402252447564046,0.9962,0.002,,,,65.0,,,,287614306.0,,0.9952740529470671,0.0009402252447564046,0.9898,0.0058,4995,40910.82882305879,0.9993670282527886,716592.3041801781,712990.4851958486,4995,-1.0,-1.0,-1,16706,343762.0,5288.6461538461535,1035.8159520000002,965735
,388088.0,,0.7961154602424894,0.0008871775369682177,196108.0,24603829.0,17.0,0.9970024509628124,0.000948993253484817,0.9968,0.0017,,,,17.0,,,,111194576.0,,0.9970024509628124,0.000948993253484817,0.9932,0.0059,6088,15815.262273394264,0.9989902687512262,1069035.5920891091,1066938.0509382545,6088,-1.0,-1.0,-1,16708,109449.0,6438.176470588235,638.7665810000001,1428011
,239631.0,,0.7978002079068665,0.001066941388705276,145033.0,17089943.0,17.0,0.9981904078993605,0.0008077258280822363,0.9972,0.002,,,,17.0,,,,76906468.0,,0.9981904078993605,0.0008077258280822363,0.9928,0.0089,7172,10927.533132530856,0.998321317224343,756156.7045733221,755571.6029675277,7172,-1.0,-1.0,-1,16709,124716.0,7336.235294117647,733.7544660000001,1005192
,307154.0,,0.7996026297863433,0.0010439851459857381,159736.0,17947235.0,17.0,0.9989976863853872,0.0005940164438256035,0.9975,0.002,,,,17.0,,,,80274266.0,,0.9989976863853872,0.0005940164438256035,0.9917,0.0117,14225,11402.137865782952,0.9968559134350952,791546.0631220823,792097.1452363647,14225,-1.0,-1.0,-1,16710,243731.0,14337.117647058823,1433.972339,1053661
,106436.0,,0.8044772830755601,0.002834058330542287,26096.0,2471782.0,17.0,0.9996686426756062,0.0005613936811188594,0.9973,0.0054,,,,17.0,,,,10784304.0,,0.9996686426756062,0.0005613936811188594,0.9922,0.0554,6011,1538.835351721942,0.9865121944990576,106470.71320467317,106599.71056727429,6011,-1.0,-1.0,-1,16711,103760.0,6103.529411764705,610.456233,145763
,13241.0,,0.7977792379555098,0.0010474229383941529,154339.0,2088754.0,2.0,0.9996358657677852,0.0006127359607105939,0.9978,0.002,,,,2.0,,,,9368791.0,,0.9996358657677852,0.0006127359607105939,0.9972,0.0206,5500,1346.7572748868638,0.9865762435599105,792452.9224138395,793676.9696143236,5500,-1.0,-1.0,-1,16712,10872.0,5436.0,531.721813,1042937
