COINTRIG_cut,COINTRIG_scaler,COIN_PS,CPULT_scaler,CPULT_scaler_uncern,HMSTRIG_cut,HMSTRIG_scaler,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_track,SHMS_track_uncern,accp_edtm,charge,curr_corr,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,run number,sent_edtm,sent_edtm_PS,time,tot_events
,173474.0,,0.8153429149215157,0.0013548294893113329,106627.0,5918630.0,9.0,0.9981789199677802,0.001062036929229839,0.9972,0.0023,,,,9.0,,,,8127129.0,,0.9981789199677802,0.001062036929229839,0.9858,0.0198,18056,19812.62630071633,0.999685898499495,497218.2303379946,497689.04531882354,18056,-1.0,-1.0,-1,16727,161798.0,17977.55555555556,248.92702599999998,657461
,397782.0,,0.8150495011641797,0.0008947423678661731,245776.0,13566996.0,9.0,0.9982017932566886,0.0008577486337235233,0.9973,0.0016,,,,9.0,,,,18632390.0,,0.9982017932566886,0.0008577486337235233,0.9859,0.0139,40987,45410.34280268321,0.9996857798632572,1136884.5282482214,1138401.5235495986,40987,-1.0,-1.0,-1,16728,370980.0,41220.0,570.753765,1509584
,38504.0,,0.8076147003646391,0.0008373089364592916,237880.0,8453687.0,5.0,0.9986698557664153,0.0008292475392194968,0.9974,0.0015,,,,5.0,,,,11673783.0,,0.9986698557664153,0.0008292475392194968,0.9969,0.0151,4897,28795.228772018432,0.999577517545656,1293784.0417439966,1296881.362774398,4897,-1.0,-1.0,-1,16729,25099.0,5019.8,486.61915700000003,1676901
,40205.0,,0.8116160507121374,0.0008900154659710425,216091.0,7536498.0,5.0,0.999095009546422,0.0007038613352335088,0.9975,0.0016,,,,5.0,,,,10401233.0,,0.999095009546422,0.0007038613352335088,0.997,0.0199,6394,25710.154340126468,0.9993686615972714,1166519.8387244944,1169520.1093983736,6394,-1.0,-1.0,-1,16730,32412.0,6482.4,649.2723110000002,1506512
,21027.0,,0.8103551863115644,0.0009001996709277578,209699.0,4412450.0,3.0,0.999420268706118,0.0006440464212320437,0.9977,0.0016,,,,3.0,,,,6085604.0,,0.999420268706118,0.0006440464212320437,0.9961,0.0253,6022,15065.094171690547,0.9989936573378022,1137259.477118847,1141175.6575370252,6022,-1.0,-1.0,-1,16731,18223.0,6074.333333333332,606.425879,1467024
,12343.0,,0.8109616960627115,0.0014467792638952813,82400.0,1711053.0,3.0,0.9996469247804332,0.0006369756056996617,0.9976,0.0026,,,,3.0,,,,2355220.0,,0.9996469247804332,0.0006369756056996617,0.9972,0.0526,3890,5829.692043980695,0.9983263529700382,439021.5116839451,440556.9224860975,3890,-1.0,-1.0,-1,16732,11704.0,3901.333333333334,390.273871,566749
,12524.0,,0.8123231514759717,0.0009716843183733035,182498.0,2533984.0,2.0,0.9996361738190809,0.00058608152205267,0.9978,0.0018,,,,2.0,,,,3490212.0,,0.9996361738190809,0.00058608152205267,0.9975,0.0351,5743,8643.959606421693,0.9983267056264059,986359.8746839176,990072.2447918644,5743,-1.0,-1.0,-1,16733,11549.0,5774.5,578.5555589999999,1269492
,13053.0,,0.8100911280483492,0.0008932800792081393,218468.0,1493902.0,1.0,0.9997922554169564,0.0005054508859454299,0.9977,0.0016,,,,1.0,,,,2057021.0,,0.9997922554169564,0.0005054508859454299,0.9981,0.0436,12621,5092.776507285096,0.996866742566226,1149870.3468135234,1154319.1049097823,12621,-1.0,-1.0,-1,16734,12725.0,12725.0,638.2791940000002,1484254
,19124.0,,0.8130122476140738,0.0008809118760549337,231613.0,1545108.0,1.0,0.9998565384799716,0.0004165629687443879,0.9978,0.0016,,,,1.0,,,,2125755.0,,0.9998565384799716,0.0004165629687443879,0.9945,0.0524,18733,5260.3309648861405,0.9938758511278012,1188689.7264766535,1193496.7142971705,18733,-1.0,-1.0,-1,16735,18883.0,18883.0,947.5014690000003,1538514
,31543.0,,0.814521787635193,0.0010014692755900157,194749.0,1200640.0,1.0,0.9999120248339776,0.00034757391485114016,0.9977,0.0018,,,,1.0,,,,1645113.0,,0.9999120248339776,0.00034757391485114016,0.988,0.0888,31335,4056.776990196138,0.9867805981576998,912108.0159379686,916885.8869582078,31335,-1.0,-1.0,-1,16736,31439.0,31439.0,1577.298977,1198444
,28595.0,,0.8175168535275245,0.0016365421020507276,88099.0,453605.0,1.0,0.9999372537706337,0.00037473402416853197,0.998,0.0031,,,,1.0,,,,614045.0,,0.9999372537706337,0.00037473402416853197,0.9535,0.2081,28531,1503.8126523220785,0.9675795535762269,331621.69368224667,333039.1991446074,28531,-1.0,-1.0,-1,16737,28581.0,28581.0,1433.949339,453210
