COINTRIG_cut,COINTRIG_scaler,COIN_PS,CPULT_scaler,CPULT_scaler_uncern,HMSTRIG_cut,HMSTRIG_scaler,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_track,SHMS_track_uncern,accp_edtm,charge,curr_corr,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,run number,sent_edtm,sent_edtm_PS,time,tot_events
,915215.0,,0.9969055752516515,0.0014531113529120997,,66808388.0,,0.9892185641379839,0.001418716766342217,,,,65.0,,,,,,61281180.0,65.0,0.9892185641379839,0.001418716766342217,0.9959,0.0022,4218,34815.48296815112,0.9996848774736218,-1.0,-1.0,-1,588537.7138931894,582320.1359807105,4218,16759,284347.0,4374.569230769231,438.8457180000001,935927
,323069.0,,0.998548700115153,0.0014140609786905825,,35798049.0,,0.9946158606385019,0.0011741303778383398,,,,33.0,,,,,,32935302.0,33.0,0.9946158606385019,0.0011741303778383398,0.9973,0.0021,4361,18339.745995513178,0.9993691300930324,-1.0,-1.0,-1,638267.8725218755,637799.2998126812,4361,16760,153305.0,4645.606060606061,462.79975399999995,992883
,158753.0,,0.9909112401166305,0.0012198914839416976,,24488377.0,,0.9966628807722396,0.0010171002064229316,,,,17.0,,,,,,22536848.0,17.0,0.9966628807722396,0.0010171002064229316,0.9979,0.0019,4983,12537.943738976921,0.9989926922617512,-1.0,-1.0,-1,861145.7033922304,867267.830179087,4983,16761,86060.0,5062.35294117647,505.18271,1312773
,92732.0,,0.9842265453708942,0.00100164677544824,,19024560.0,,0.9980219436560613,0.0008343363922687611,,,,9.0,,,,,,17518610.0,9.0,0.9980219436560613,0.0008343363922687611,0.9984,0.0015,6439,9731.741195525263,0.9983186422710744,-1.0,-1.0,-1,1263111.8301023094,1272232.3632781876,6439,16762,59015.0,6557.222222222223,654.501531,1915810
,63052.0,,0.998512947883171,0.0014439663420426116,,9353787.0,,0.9989281900008332,0.0007336976251447448,,,,9.0,,,,,,8613686.0,9.0,0.9989281900008332,0.0007336976251447448,0.9985,0.0022,5968,4780.147467869007,0.9968493554118919,-1.0,-1.0,-1,629265.5130520102,633920.50845353,5968,16763,54199.0,6022.111111111111,602.4218299999999,955654
,592895.0,,0.9989998531238741,0.001542398900313473,,59369542.0,,0.9919313556736962,0.0012652433411019638,,,,65.0,,,,,,54562986.0,65.0,0.9919313556736962,0.0012652433411019638,0.9967,0.0023,2512,30526.12942028343,0.9995785600264654,-1.0,-1.0,-1,541867.8830801042,539791.1650616506,2512,16764,169489.0,2607.523076923077,514.5972469999999,838592
