COINTRIG_cut,COINTRIG_scaler,COIN_PS,CPULT_scaler,CPULT_scaler_uncern,HMSTRIG_cut,HMSTRIG_scaler,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_track,SHMS_track_uncern,accp_edtm,charge,curr_corr,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,run number,sent_edtm,sent_edtm_PS,time,tot_events
,12609.0,,0.9999111516665066,0.002191340362433509,,464083.0,,0.999983732500334,0.00019424323129701136,,,,1.0,,,,,,416440.0,1.0,0.999983732500334,0.00019424323129701136,0.9988,0.0032,13102,1292.1795179934884,0.9755637993325946,-1.0,-1.0,-1,282047.66725325165,286825.46265352616,13102,16738,12602.0,12602.0,1263.0383200000003,433827
,7512.0,,0.9997760655024176,0.0017756541472997774,,704573.0,,0.9999481277024768,0.00031222185075564546,,,,1.0,,,,,,634114.0,1.0,0.9999481277024768,0.00031222185075564546,0.9988,0.0026,7473,1958.7080186284736,0.9904168398012976,-1.0,-1.0,-1,419655.1531491564,425783.68349754217,7473,16739,7483.0,7483.0,750.824509,633973
,5880.0,,0.9978625817279564,0.0014589180502414243,,1040233.0,,0.9998989563983112,0.0003951015459562415,,,,1.0,,,,,,936644.0,1.0,0.9998989563983112,0.0003951015459562415,0.9989,0.0022,5746,2893.1464657381825,0.9950076615732916,-1.0,-1.0,-1,622762.7482792067,633251.8028788142,5746,16740,5759.0,5759.0,577.742651,934643
,5658.0,,0.9944033729389412,0.001194431311995218,,1544554.0,,0.9997900697913674,0.0005160514789199569,,,,1.0,,,,,,1390123.0,1.0,0.9997900697913674,0.0005160514789199569,0.9988,0.0018,5321,4293.1886340230985,0.9968551647619199,-1.0,-1.0,-1,922853.675362158,934805.9122350637,5321,16741,5382.0,5382.0,540.054836,1378948
,11319.0,,0.9959011550208868,0.0012555879149207126,,2798560.0,,0.9996395589198144,0.0005827591698309168,,,,2.0,,,,,,2521686.0,2.0,0.9996395589198144,0.0005827591698309168,0.9987,0.0018,5108,7759.6769808897525,0.9983176821590448,-1.0,-1.0,-1,834965.3452601867,846100.1019116772,5108,16742,10392.0,5196.0,522.169721,1246878
,17973.0,,0.9944744123320244,0.0011932463949722624,,4627222.0,,0.9994110040413917,0.000656625876426878,,,,3.0,,,,,,4179103.0,3.0,0.9994110040413917,0.000656625876426878,0.9986,0.0018,5116,12834.260858040976,0.998992051706905,-1.0,-1.0,-1,923438.7336559857,938862.2148685871,5116,16743,15501.0,5167.0,517.4508529999999,1377246
,20921.0,,0.9943820981161664,0.0012459900906596814,,7066558.0,,0.9990525628709443,0.0007490495145768928,,,,5.0,,,,,,6387082.0,5.0,0.9990525628709443,0.0007490495145768928,0.9986,0.0018,2901,19607.17298490653,0.9993682239245028,-1.0,-1.0,-1,846921.2148755002,858714.4809312986,2901,16744,14860.0,2972.0,495.493712,1260931
,35157.0,,0.9997966673183448,0.0014289091221476018,,9747578.0,,0.9986032293118776,0.0008392118563450348,,,,9.0,,,,,,8813143.0,9.0,0.9986032293118776,0.0008392118563450348,0.9985,0.002,2500,26983.05653480438,0.9995782384804952,-1.0,-1.0,-1,654167.5442471758,661744.5507337204,2500,16745,22726.0,2525.1111111111113,455.216597,975154
,79982.0,,0.9775883416816981,0.0010800611834804186,,16501194.0,,0.9981346534287442,0.0008503193359788859,,,,9.0,,,,,,14915496.0,9.0,0.9981346534287442,0.0008503193359788859,0.9983,0.0016,5515,45961.186734853974,0.9996849971567635,-1.0,-1.0,-1,1083832.386029258,1096791.4475874938,5515,16746,52034.0,5781.555555555556,579.11618,1615067
