COINTRIG_cut,COINTRIG_scaler,COIN_PS,COIN_scaler_accp,CPULT_phys,CPULT_scaler,CPULT_scaler_uncern,HMSTRIG_cut,HMSTRIG_scaler,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_scaler_accp,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_scaler_accp,SHMS_track,SHMS_track_uncern,TLT,accp_edtm,avg_yield_HMS_CPULT_notrack,avg_yield_HMS_CPULT_track,avg_yield_HMS_notrack,avg_yield_HMS_scaler,avg_yield_HMS_track,avg_yield_SHMS_CPULT_notrack,avg_yield_SHMS_CPULT_track,avg_yield_SHMS_notrack,avg_yield_SHMS_scaler,avg_yield_SHMS_track,charge,curr_corr,current,hTLT,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,min_yield_HMS_CPULT_notrack,min_yield_HMS_CPULT_track,min_yield_HMS_notrack,min_yield_HMS_scaler,min_yield_HMS_track,min_yield_SHMS_CPULT_notrack,min_yield_SHMS_CPULT_track,min_yield_SHMS_notrack,min_yield_SHMS_scaler,min_yield_SHMS_track,pTLT,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,rate_COIN,rate_HMS,rate_SHMS,run number,sent_edtm,sent_edtm_HMS,sent_edtm_PS,sent_edtm_SHMS,time,tot_events,uncern_COIN_evts_scaler,uncern_CPULT_phys,uncern_HMS_evts_notrack,uncern_HMS_evts_scaler,uncern_HMS_evts_track,uncern_SHMS_evts_notrack,uncern_SHMS_evts_scaler,uncern_SHMS_evts_track,uncern_TLT,uncern_charge,uncern_yieldRel_HMS_CPULT_notrack,uncern_yieldRel_HMS_CPULT_track,uncern_yieldRel_HMS_notrack,uncern_yieldRel_HMS_scaler,uncern_yieldRel_HMS_track,uncern_yieldRel_SHMS_CPULT_notrack,uncern_yieldRel_SHMS_CPULT_track,uncern_yieldRel_SHMS_notrack,uncern_yieldRel_SHMS_scaler,uncern_yieldRel_SHMS_track,yieldRel_HMS_CPULT_notrack,yieldRel_HMS_CPULT_track,yieldRel_HMS_notrack,yieldRel_HMS_scaler,yieldRel_HMS_track,yieldRel_SHMS_CPULT_notrack,yieldRel_SHMS_CPULT_track,yieldRel_SHMS_notrack,yieldRel_SHMS_scaler,yieldRel_SHMS_track,yield_HMS_CPULT_notrack,yield_HMS_CPULT_track,yield_HMS_notrack,yield_HMS_scaler,yield_HMS_track,yield_SHMS_CPULT_notrack,yield_SHMS_CPULT_track,yield_SHMS_notrack,yield_SHMS_scaler,yield_SHMS_track
,13189.0,,7.0,0.999910389323922,0.999910389323922,0.002143548834657799,,485409.0,,0.9999844369511246,0.00018789977859067644,472227.0,,,,1.0,,,,,,435216.0,1.0,0.9999844369511246,0.00018789977859067644,422034.0,0.9988,0.0032,0.9939311181914732,13102,,,,359.8970140841918,,217.0987628043011,220.4784244720178,219.21259714181306,324.27957167502393,222.62704250088015,1351.4907877150872,0.9667581299655362,1.0228064776364938,,-1.0,-1.0,-1,1,1,1,1,1,215.88899698287295,219.80985793779237,217.1877377344673,323.01040879879287,221.13218572705264,0.9939311181914732,282047.66725325165,286825.4626535261,13102,9.981418117066404,367.3569024783597,329.3709050903914,16738,13182.0,inf,13182.0,13182.0,1321.3553269999998,433827,0.00870751168382865,0.002143548834657799,,0.0014353112465252242,,0.0018829498094597144,0.0015158197923987634,0.0018672013324168284,0.008683681032930136,2.814967298330002,,,,0.003578860081183023,,0.0040264986441175135,0.007226498644117514,0.010566630842389851,0.0036593686270565626,0.01376663084238985,,,,361.42641662953116,,1.0,1.0,1.0,1.0,1.0,,,,361.42641662953116,,215.88899698287295,219.80985793779237,217.1877377344673,323.01040879879287,221.13218572705264
,7512.0,,29.0,0.9997760655024176,0.9997760655024176,0.0017756541472997774,,704573.0,,0.9999481277024768,0.00031222185075564546,697090.0,,,,1.0,,,,,,634114.0,1.0,0.9999481277024768,0.00031222185075564546,626631.0,0.9988,0.0026,0.9986636375785113,7473,,,,359.8970140841918,,217.0987628043011,220.4784244720178,219.21259714181306,324.27957167502393,222.62704250088015,1958.7080186284736,0.9869669021297646,2.6087427823010416,,-1.0,-1.0,-1,1,1,1,1,1,215.88899698287295,219.80985793779237,217.1877377344673,323.01040879879287,221.13218572705264,0.9986636375785113,419655.1531491564,425783.68349754217,7473,10.00500104878702,938.3990420589746,844.5568736755235,16739,7483.0,inf,7483.0,7483.0,750.824509,633973,0.011537778849851146,0.0017756541472997774,,0.0011913435057461508,,0.0015436673545493086,0.0012557880012572928,0.0015325176769070354,0.0115531582973046,4.066991968890159,,,,0.002966997653045928,,0.003319321501849086,0.005919321501849086,0.013096825651853909,0.00303144214855707,0.01569682565185391,,,,360.59239454815605,,1.0057430173841801,1.003432792473476,1.0008424827636662,1.0035131514552575,0.9985435145427528,,,,360.59239454815605,,217.1288512455988,220.56441956371705,217.37071465998824,324.1451932865277,220.8101099144119
,5880.0,,121.0,0.9978625817279564,0.9978625817279564,0.0014589180502414243,,1040233.0,,0.9998989563983112,0.0003951015459562415,1034474.0,,,,1.0,,,,,,936644.0,1.0,0.9998989563983112,0.0003951015459562415,930885.0,0.9989,0.0022,0.9977426636568849,5746,,,,359.8970140841918,,217.0987628043011,220.4784244720178,219.21259714181306,324.27957167502393,222.62704250088015,2893.1464657381825,0.9932104197396768,5.007673331249665,,-1.0,-1.0,-1,1,1,1,1,1,215.88899698287295,219.80985793779237,217.1877377344673,323.01040879879287,221.13218572705264,0.9977426636568849,622762.7482792067,633251.8028788142,5746,10.17754183427943,1800.5127338261893,1621.2131792222485,16740,5759.0,inf,5759.0,5759.0,577.742651,934643,0.013041013273932527,0.0014589180502414243,,0.0009804708502514194,,0.0012671810998220309,0.0010332673877207535,0.0012566426127231663,0.013163559767740755,6.0045643248611755,,,,0.0024393889004928437,,0.002726099150063455,0.004926099150063455,0.014430740867562786,0.002492185437962178,0.016630740867562787,,,,360.00446924243005,,1.0060271304296973,1.0058305705867092,1.0001314731009918,1.002923545696057,0.9999360651647902,,,,360.00446924243005,,217.19018812602525,221.0914748301532,217.21629207984466,323.9547444892182,221.1180476771986
,5658.0,,276.0,0.9944033729389412,0.9944033729389412,0.001194431311995218,,1544554.0,,0.9997900697913674,0.0005160514789199569,1539172.0,,,,1.0,,,,,,1390123.0,1.0,0.9997900697913674,0.0005160514789199569,1384741.0,0.9988,0.0018,0.9886659234485321,5321,,,,359.8970140841918,,217.0987628043011,220.4784244720178,219.21259714181306,324.27957167502393,222.62704250088015,4293.1886340230985,0.99685516476192,7.949542060990078,,-1.0,-1.0,-1,1,1,1,1,1,215.88899698287295,219.80985793779237,217.1877377344673,323.01040879879287,221.13218572705264,0.9886659234485321,922853.675362158,934805.9122350636,5321,10.476713886883886,2859.9947580137955,2574.040462809595,16741,5382.0,inf,5382.0,5382.0,540.054836,1378948,0.013294393474083767,0.001194431311995218,,0.000804634133222385,,0.0010409588861784286,0.0008481514043868108,0.0010342827340235955,0.0135547908874486,8.9093037064745,,,,0.0019990654452176028,,0.0022353901981736466,0.004035390198173647,0.014595749773627029,0.0020425827163820286,0.016395749773627028,,,,359.64590526570174,,1.0044485926704636,1.000509296220506,1.0042363672747532,1.001705364359731,1.0002979031409083,,,,359.64590526570174,,216.8493991924847,219.92180626767006,218.1078247590833,323.56125923778046,221.19806169973666
,11319.0,,6123.0,0.9959011550208868,0.9959011550208868,0.0012555879149207126,,2798560.0,,0.9996395589198144,0.0005827591698309168,2788168.0,,,,2.0,,,,,,2521686.0,2.0,0.9996395589198144,0.0005827591698309168,2511294.0,0.9987,0.0018,0.9830638953040801,5108,,,,359.8970140841918,,217.0987628043011,220.4784244720178,219.21259714181306,324.27957167502393,222.62704250088015,7759.6769808897525,0.9983176821590448,14.860449905117637,,-1.0,-1.0,-1,1,1,1,1,1,215.88899698287295,219.80985793779237,217.1877377344673,323.01040879879287,221.13218572705264,0.9830638953040801,834965.3452601867,846100.1019116772,5108,21.676860118053458,5359.483492532881,4829.245930175258,16742,10392.0,inf,5196.0,5196.0,522.169721,1246878,0.0093993099279967,0.0012555879149207126,,0.0005977680362159648,,0.0010943740202935008,0.0006297301638388987,0.0010871491391977375,0.013756165160926892,16.1021691580554,,,,0.0018533559511366773,,0.0023499619352142136,0.004149961935214214,0.014850539181220392,0.0018853180787596112,0.016650539181220392,,,,359.92045751391777,,1.0026267687018844,0.9991734495502749,1.0096456821109876,1.0036184472464134,1.0061681879135325,,,,359.92045751391777,,216.4560874432288,219.62817400085987,219.2826616110585,324.1792049230737,222.49617060234726
,17973.0,,12806.0,0.9944744123320244,0.9944744123320244,0.0011932463949722626,,4627222.0,,0.9994110040413916,0.000656625876426878,4611721.0,,,,3.0,,,,,,4179103.0,3.0,0.9994110040413916,0.000656625876426878,4163602.0,0.9986,0.0018,0.9901296690536094,5116,,,,359.8970140841918,,217.0987628043011,220.4784244720178,219.21259714181306,324.27957167502393,222.62704250088015,12834.260858040976,0.9989920517069051,24.802859602283775,,-1.0,-1.0,-1,1,1,1,1,1,215.88899698287295,219.80985793779237,217.1877377344673,323.01040879879287,221.13218572705264,0.9901296690536094,923438.7336559857,938862.2148685872,5116,34.73373344695212,8942.341042000373,8076.328361951703,16743,15501.0,inf,5167.0,5167.0,517.4508529999998,1377246,0.007459156391755744,0.0011932463949722626,,0.00046487889693508215,,0.0010406290764672199,0.0004891684769998329,0.0010320460346514811,0.013844217489717033,26.632110048994914,,,,0.0016581252919073447,,0.0022338754714394827,0.004033875471439482,0.014884846566184252,0.0016824148719720954,0.016684846566184252,,,,359.6914631408793,,1.0064039321014404,1.0063704592053602,1.0047755787152024,1.0053558192506908,1.004742159977996,,,,359.6914631408793,,217.27153546099933,221.21014767072108,218.224934871995,324.74039416441093,222.18082992805427
,20921.0,,17949.0,0.9943820981161664,0.9943820981161664,0.0012459900906596814,,7066558.0,,0.9990525628709443,0.0007490495145768928,7051698.0,,,,5.0,,,,,,6387082.0,5.0,0.9990525628709443,0.0007490495145768928,6372222.0,0.9986,0.0018,0.9761103633916555,2901,,,,359.8970140841918,,217.0987628043011,220.4784244720178,219.21259714181306,324.27957167502393,222.62704250088015,19607.17298490653,0.9993682239245028,39.57098245659781,,-1.0,-1.0,-1,1,1,1,1,1,215.88899698287295,219.80985793779237,217.1877377344673,323.01040879879287,221.13218572705264,0.9761103633916555,846921.2148755002,858714.4809312986,2901,42.22253379473764,14261.650206370328,12890.33916135751,16744,14860.0,inf,2972.0,2972.0,495.493712,1260931,0.006913672134768555,0.0012459900906596814,,0.00037618028927234115,,0.0010866220011897805,0.00039568424118660204,0.001079134573238114,0.018125765892814866,40.686249620701496,,,,0.0016221703799320225,,0.0023326120918494616,0.004132612091849461,0.019212387894004646,0.0016416743318462834,0.021012387894004645,,,,359.8762512026087,,1.0066736329290467,1.0038902811737533,1.0193850825553652,1.0067783397446244,1.0165665849151768,,,,359.8762512026087,,217.32976090215672,220.66498008993318,221.39793996046296,325.1998830906811,224.79559085937854
,35157.0,,32631.88888888889,0.9997966673183448,0.9997966673183448,0.0014289091221476018,,9747578.0,,0.9986032293118776,0.0008392118563450348,9724852.0,,,,9.0,,,,,,8813143.0,9.0,0.9986032293118776,0.0008392118563450348,8790417.0,0.9985,0.002,0.9900554431048137,2500,,,,359.8970140841918,,217.0987628043011,220.4784244720178,219.21259714181306,324.27957167502393,222.62704250088015,26983.05653480438,0.9995782384804952,59.27520374395396,,-1.0,-1.0,-1,1,1,1,1,1,215.88899698287295,219.80985793779237,217.1877377344673,323.01040879879287,221.13218572705264,0.9900554431048137,654167.5442471758,661744.5507337204,2500,77.2313668519428,21413.05493744992,19360.328815076136,16745,22726.0,inf,2525.1111111111113,2525.1111111111113,455.216597,975154,0.00533327644535465,0.0014289091221476018,,0.00032029609249830364,,0.0012363900556244636,0.0003368484796537481,0.0012292913145076209,0.019804990329782265,55.99162784473792,,,,0.0017492052146459054,,0.0026652991777720656,0.004665299177772066,0.02104138038540673,0.0017657576018013498,0.023041380385406728,,,,360.55794073666533,,1.011303181309515,1.0062781151990223,1.0151465648973192,1.0089857304005188,1.0101024013915312,,,,360.55794073666533,,218.3292294584997,221.18984954780655,220.47738589896437,325.9128932488202,223.36615182785397
,79982.0,,74200.44444444444,0.977588341681698,0.977588341681698,0.0010800611834804186,,16501194.0,,0.9981346534287442,0.0008503193359788859,16449160.0,,,,9.0,,,,,,14915496.0,9.0,0.9981346534287442,0.0008503193359788859,14863462.0,0.9983,0.0016,0.95389552984587,5515,,,,359.8970140841918,,217.0987628043011,220.4784244720178,219.21259714181306,324.27957167502393,222.62704250088015,45961.18673485397,0.9996849971567636,79.36436301063799,,-1.0,-1.0,-1,1,1,1,1,1,215.88899698287295,219.80985793779237,217.1877377344673,323.01040879879287,221.13218572705264,0.95389552984587,1083832.386029258,1096791.4475874938,5515,138.11045652359428,28493.75405121646,25755.61953734396,16746,52034.0,inf,5781.555555555556,5781.555555555556,579.11618,1615067,0.003535931720629644,0.0010800611834804186,,0.0002461740750941697,,0.0009605477034179511,0.00025892927184310713,0.0009548561999424658,0.012845880547933623,95.372434801565,,,,0.0013262352585745882,,0.0020406088868983696,0.00364060888689837,0.013806428251351574,0.0013389904553235258,0.015406428251351575,,,,358.00518510986626,,1.0059206019695477,1.0014929722873407,1.0247409935042042,1.0014956135778028,1.0202305245561283,,,,358.00518510986626,,217.1671898036134,220.13802796417778,222.56117814294856,323.49350755196394,225.6058058405541
