COINTRIG_cut,COINTRIG_scaler,COIN_PS,CPULT_scaler,CPULT_scaler_uncern,HMSTRIG_cut,HMSTRIG_scaler,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_track,SHMS_track_uncern,accp_edtm,charge,curr_corr,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,run number,sent_edtm,sent_edtm_PS,time,tot_events
,161901.0,,0.9987523353017423,0.0015658299424778565,65194.0,8914461.0,9.0,0.9958362268482681,0.0008664759788614744,0.9978,0.0022,,65.0,,9.0,,,86.0,67951680.0,65.0,0.9958362268482681,0.0008664759788614744,0.9904,0.0022,13288,46863.38599691543,0.9964043124832872,647232.1447283489,642540.5415132709,6472,604638.2691148472,567899.7739762338,6817,12185,108286.0,13512.611965811966,1203.614943,2033367
,83913.0,,0.9984734135531977,0.0014436077123338889,69954.0,5566580.0,5.0,0.9973986324899065,0.0007698120742836977,0.9979,0.0021,,33.0,,5.0,,,195.0,42559717.0,33.0,0.9973986324899065,0.0007698120742836977,0.9908,0.002,13269,29379.146708429067,0.9942590181561805,729959.9354556996,725369.226400888,6169,739810.4323832451,695049.2930626904,7103,12186,60203.0,13500.066666666668,1204.751056,2399337
,50295.0,,0.998408449602903,0.0015043566550685657,105717.0,3998635.0,3.0,0.9981242660644801,0.0007095548347946611,0.9979,0.0019,,33.0,,3.0,,,139.0,30637220.0,33.0,0.9981242660644801,0.0007095548347946611,0.9909,0.0024,12787,21196.357277241692,0.9920415005345695,876011.1619004896,870502.6439107155,7564,536696.8311202165,504601.15740319097,5224,12187,36167.0,12786.31313131313,1204.937129,2260300
,29856.0,,0.9992644665092388,0.0017064615998083382,43291.0,2228045.0,3.0,0.9989547756086395,0.0006130411473233313,0.9978,0.0026,,17.0,,3.0,,,272.0,17056722.0,17.0,0.9989547756086395,0.0006130411473233313,0.9914,0.0023,8777,11865.770239612883,0.985747348082351,489323.24318596005,486397.1631537677,3752,573897.3926198576,539997.7117846743,5026,12189,24076.0,8969.490196078432,1207.990664,1747733
,14209.0,,0.9974118866099407,0.001354484219019331,59378.0,1112716.0,1.0,0.9994703329255809,0.0005194907049814955,0.9979,0.0021,,5.0,,1.0,,,1401.0,8491832.0,5.0,0.9994703329255809,0.0005194907049814955,0.9914,0.0017,11985,5990.947953994089,0.9718621969220055,730195.7224435635,726132.767477621,4746,965288.701826525,910653.3001826184,7261,12190,12016.0,12016.0,1204.086527,2803808
,76369.0,,0.997458981760078,0.003531869085521654,13576.0,3386918.0,17.0,0.9926694280840336,0.0014660070569345127,0.9974,0.0046,,129.0,,17.0,,,15.0,25770252.0,129.0,0.9926694280840336,0.0014660070569345127,0.989,0.0047,2972,17751.16766765529,0.9979437385966159,135234.74336084176,134651.52543995256,1474,121267.045613403,113078.15383405484,1500,12191,44277.0,2927.5718194254446,260.72172099999995,411123

